Year,Movie,Award,Winner
2007,Sweeney Todd: The Demon Barber of Fleet Street,LVFCS,Y
2008,The Curious Case of Benjamin Button,LVFCS,Y
2009,Inglourious Basterds,LVFCS,Y
2010,Alice in Wonderland,LVFCS,Y
2011,The Artist,LVFCS,Y
2012,Anna Karenina,LVFCS,Y
2013,12 Years a Slave,LVFCS,Y
2014,Guardians of the Galaxy,LVFCS,Y
2015,Mad Max: Fury Road,LVFCS,Y
2017,Blade Runner 2049,LVFCS,Y
2009,The Young Victoria,CCA,Y
2009,Bright Star,CCA,N
2009,Inglourious Basterds,CCA,N
2009,Nine,CCA,N
2009,Where the Wild Things Are,CCA,N
2010,Alice in Wonderland,CCA,Y
2010,Black Swan,CCA,N
2010,The King's Speech,CCA,N
2010,True Grit,CCA,N
2011,The Artist,CCA,Y
2011,The Help,CCA,N
2011,Hugo,CCA,N
2011,Jane Eyre,CCA,N
2011,My Week with Marilyn,CCA,N
2012,Anna Karenina,CCA,Y
2012,Cloud Atlas,CCA,N
2012,The Hobbit: An Unexpected Journey,CCA,N
2012,Les Misérables,CCA,N
2012,Lincoln,CCA,N
2013,The Great Gatsby,CCA,Y
2013,12 Years a Slave,CCA,N
2013,American Hustle,CCA,N
2013,The Hobbit: The Desolation of Smaug,CCA,N
2013,Saving Mr. Banks,CCA,N
2014,The Grand Budapest Hotel,CCA,Y
2014,Inherent Vice,CCA,N
2014,Into the Woods,CCA,N
2014,Maleficent,CCA,N
2014,Mr. Turner,CCA,N
2015,Mad Max: Fury Road,CCA,Y
2015,Brooklyn,CCA,N
2015,Carol,CCA,N
2015,Cinderella,CCA,N
2015,The Danish Girl,CCA,N
2016,Jackie,CCA,Y
2016,Allied,CCA,N
2016,Fantastic Beasts and Where to Find Them,CCA,N
2016,Florence Foster Jenkins,CCA,N
2016,La La Land,CCA,N
2016,Love & Friendship,CCA,N
2017,Phantom Thread,CCA,Y
2017,Beauty and the Beast,CCA,N
2017,Blade Runner 2049,CCA,N
2017,The Shape of Water,CCA,N
2017,Wonder Woman,CCA,N
2017,Beauty and the Beast,PFCS,Y
2017,Blade Runner 2049,PFCS,N
2017,Murder on the Orient Express,PFCS,N
2017,The Shape of Water,PFCS,N
